"invoice_no","Category","Quantity","Revenue","Payment_method","Shopping_Mall"
"I202557","Clothing",5,"7502","Debit Card","Istinye Park"
"I392095","Clothing",5,"7502","Cash","Metrocity"
"I313455","Clothing",5,"7502","Debit Card","Emaar Square Mall"
"I324451","Technology",4,"16800","Cash","Metropol AVM"
"I519664","Clothing",5,"7502","Cash","Mall of Istanbul"
"I147836","Shoes",4,"9602.72","Cash","Metropol AVM"
"I969045","Clothing",5,"7502","Debit Card","Viaport Outlet"
"I214839","Shoes",4,"9602.72","Debit Card","Istinye Park"
"I277528","Technology",3,"9450","Cash","Mall of Istanbul"
"I291637","Shoes",3,"5401.53","Cash","Kanyon"
"I266151","Shoes",3,"5401.53","Cash","Kanyon"
"I239239","Clothing",5,"7502","Cash","Cevahir AVM"
"I283536","Clothing",5,"7502","Cash","Kanyon"
"I126087","Shoes",3,"5401.53","Cash","Mall of Istanbul"
"I268893","Technology",4,"16800","Debit Card","Emaar Square Mall"
"I316206","Clothing",5,"7502","Cash","Metrocity"
"I268505","Shoes",3,"5401.53","Cash","Forum Istanbul"
"I214448","Shoes",3,"5401.53","Cash","Metrocity"
"I140536","Clothing",5,"7502","Debit Card","Metropol AVM"
"I117113","Clothing",5,"7502","Cash","Mall of Istanbul"
"I148843","Shoes",4,"9602.72","Cash","Mall of Istanbul"
"I225137","Shoes",3,"5401.53","Cash","Metrocity"
"I127483","Clothing",5,"7502","Cash","Istinye Park"
"I290591","Shoes",4,"9602.72","Cash","Mall of Istanbul"
"I456872","Shoes",5,"15004.25","Cash","Zorlu Center"
"I213954","Shoes",3,"5401.53","Debit Card","Zorlu Center"
"I252422","Technology",4,"16800","Cash","Zorlu Center"
"I144320","Clothing",5,"7502","Cash","Metrocity"
"I702893","Technology",3,"9450","Debit Card","Istinye Park"
"I107139","Shoes",4,"9602.72","Cash","Cevahir AVM"
"I256318","Technology",4,"16800","Debit Card","Mall of Istanbul"
"I115012","Shoes",5,"15004.25","Cash","Kanyon"
"I207916","Shoes",3,"5401.53","Cash","Cevahir AVM"
"I723054","Clothing",5,"7502","Debit Card","Metrocity"
"I737273","Shoes",4,"9602.72","Cash","Kanyon"
"I336440","Shoes",4,"9602.72","Debit Card","Kanyon"
"I128491","Clothing",5,"7502","Debit Card","Mall of Istanbul"
"I134329","Clothing",5,"7502","Debit Card","Metrocity"
"I297135","Shoes",3,"5401.53","Cash","Viaport Outlet"
"I339953","Clothing",5,"7502","Cash","Istinye Park"
"I233364","Shoes",5,"15004.25","Cash","Kanyon"
"I157867","Clothing",5,"7502","Debit Card","Kanyon"
"I210474","Clothing",5,"7502","Cash","Metrocity"
"I234471","Clothing",5,"7502","Debit Card","Kanyon"
"I300391","Shoes",3,"5401.53","Cash","Emaar Square Mall"
"I660570","Clothing",5,"7502","Debit Card","Cevahir AVM"
"I149622","Clothing",5,"7502","Debit Card","Mall of Istanbul"
"I137648","Clothing",5,"7502","Cash","Zorlu Center"
"I277241","Shoes",4,"9602.72","Cash","Metrocity"
"I102344","Shoes",3,"5401.53","Cash","Metrocity"
"I378618","Shoes",5,"15004.25","Cash","Metrocity"
"I124802","Technology",5,"26250","Debit Card","Kanyon"
"I250128","Shoes",4,"9602.72","Cash","Mall of Istanbul"
"I330527","Shoes",5,"15004.25","Debit Card","Istinye Park"
"I913910","Technology",3,"9450","Debit Card","Mall of Istanbul"
"I777912","Shoes",3,"5401.53","Cash","Mall of Istanbul"
"I860056","Shoes",5,"15004.25","Cash","Metropol AVM"
"I163416","Shoes",4,"9602.72","Cash","Metrocity"
"I320895","Clothing",5,"7502","Cash","Mall of Istanbul"
"I195148","Technology",5,"26250","Cash","Metrocity"
"I643991","Clothing",5,"7502","Cash","Metrocity"
"I279812","Shoes",4,"9602.72","Cash","Viaport Outlet"
"I264139","Clothing",5,"7502","Cash","Forum Istanbul"
"I108957","Clothing",5,"7502","Cash","Cevahir AVM"
"I894499","Clothing",5,"7502","Debit Card","Forum Istanbul"
"I271264","Clothing",5,"7502","Debit Card","Kanyon"
"I125602","Technology",4,"16800","Cash","Kanyon"
"I379709","Technology",5,"26250","Cash","Metrocity"
"I250948","Shoes",5,"15004.25","Debit Card","Mall of Istanbul"
"I289450","Clothing",5,"7502","Cash","Istinye Park"
"I377708","Shoes",3,"5401.53","Debit Card","Zorlu Center"
"I805987","Shoes",3,"5401.53","Cash","Emaar Square Mall"
"I288795","Technology",4,"16800","Cash","Kanyon"
"I336156","Shoes",5,"15004.25","Cash","Metrocity"
"I166070","Technology",5,"26250","Cash","Viaport Outlet"
"I484825","Clothing",5,"7502","Cash","Mall of Istanbul"
"I441461","Clothing",5,"7502","Cash","Mall of Istanbul"
"I370941","Shoes",5,"15004.25","Cash","Emaar Square Mall"
"I223357","Clothing",5,"7502","Debit Card","Mall of Istanbul"
"I266761","Clothing",5,"7502","Cash","Kanyon"
"I200623","Shoes",4,"9602.72","Cash","Istinye Park"
"I236652","Clothing",5,"7502","Cash","Kanyon"
"I291542","Clothing",5,"7502","Cash","Mall of Istanbul"
"I264421","Technology",5,"26250","Cash","Metrocity"
"I289255","Technology",5,"26250","Debit Card","Kanyon"
"I260521","Shoes",3,"5401.53","Debit Card","Mall of Istanbul"
"I324343","Technology",3,"9450","Debit Card","Forum Istanbul"
"I167466","Shoes",4,"9602.72","Cash","Metropol AVM"
"I195153","Clothing",5,"7502","Debit Card","Kanyon"
"I221706","Shoes",5,"15004.25","Cash","Mall of Istanbul"
"I758262","Clothing",5,"7502","Cash","Metropol AVM"
"I306880","Shoes",4,"9602.72","Cash","Forum Istanbul"
"I125889","Shoes",5,"15004.25","Cash","Forum Istanbul"
"I404350","Shoes",5,"15004.25","Cash","Metrocity"
"I728521","Technology",4,"16800","Cash","Mall of Istanbul"
"I273347","Clothing",5,"7502","Cash","Kanyon"
"I228391","Clothing",5,"7502","Cash","Mall of Istanbul"
"I102799","Shoes",5,"15004.25","Debit Card","Viaport Outlet"
"I802315","Shoes",3,"5401.53","Cash","Emaar Square Mall"
"I203018","Technology",4,"16800","Cash","Mall of Istanbul"
"I298783","Clothing",5,"7502","Debit Card","Forum Istanbul"
"I769560","Technology",5,"26250","Debit Card","Kanyon"
"I425589","Clothing",5,"7502","Cash","Mall of Istanbul"
"I193687","Clothing",5,"7502","Cash","Kanyon"
"I274101","Shoes",3,"5401.53","Cash","Istinye Park"
"I197018","Shoes",5,"15004.25","Cash","Metrocity"
"I120511","Clothing",5,"7502","Cash","Zorlu Center"
"I323403","Shoes",4,"9602.72","Cash","Metropol AVM"
"I331509","Clothing",5,"7502","Cash","Kanyon"
"I118206","Shoes",5,"15004.25","Cash","Forum Istanbul"
"I258600","Technology",4,"16800","Cash","Viaport Outlet"
"I105502","Clothing",5,"7502","Debit Card","Istinye Park"
"I380702","Clothing",5,"7502","Cash","Zorlu Center"
"I208845","Clothing",5,"7502","Cash","Metropol AVM"
"I336517","Clothing",5,"7502","Cash","Mall of Istanbul"
"I162990","Clothing",5,"7502","Cash","Kanyon"
"I555967","Shoes",4,"9602.72","Debit Card","Mall of Istanbul"
"I138840","Clothing",5,"7502","Cash","Kanyon"
"I103854","Clothing",5,"7502","Cash","Emaar Square Mall"
"I225089","Technology",3,"9450","Cash","Metropol AVM"
"I103763","Shoes",5,"15004.25","Cash","Zorlu Center"
"I118971","Technology",3,"9450","Cash","Istinye Park"
"I199241","Clothing",5,"7502","Cash","Metropol AVM"
"I313680","Shoes",4,"9602.72","Cash","Kanyon"
"I262047","Technology",4,"16800","Cash","Viaport Outlet"
"I300323","Clothing",5,"7502","Cash","Cevahir AVM"
"I296359","Clothing",5,"7502","Cash","Mall of Istanbul"
"I228805","Clothing",5,"7502","Debit Card","Mall of Istanbul"
"I544786","Technology",4,"16800","Debit Card","Metropol AVM"
"I310978","Shoes",5,"15004.25","Debit Card","Kanyon"
"I818650","Technology",3,"9450","Cash","Metrocity"
"I987187","Shoes",5,"15004.25","Debit Card","Emaar Square Mall"
"I195283","Clothing",5,"7502","Cash","Metrocity"
"I115173","Clothing",5,"7502","Debit Card","Viaport Outlet"
"I920131","Technology",5,"26250","Cash","Metrocity"
"I269306","Clothing",5,"7502","Cash","Metrocity"
"I132446","Clothing",5,"7502","Cash","Forum Istanbul"
"I288919","Technology",3,"9450","Cash","Mall of Istanbul"
"I232760","Clothing",5,"7502","Cash","Zorlu Center"
"I277066","Clothing",5,"7502","Cash","Emaar Square Mall"
"I201306","Shoes",3,"5401.53","Cash","Metrocity"
"I245206","Clothing",5,"7502","Cash","Cevahir AVM"
"I235321","Shoes",5,"15004.25","Cash","Mall of Istanbul"
"I114391","Clothing",5,"7502","Debit Card","Zorlu Center"
"I278842","Clothing",5,"7502","Cash","Mall of Istanbul"
"I456329","Shoes",5,"15004.25","Debit Card","Forum Istanbul"
"I553606","Shoes",5,"15004.25","Cash","Kanyon"
"I210750","Shoes",5,"15004.25","Cash","Metrocity"
"I133609","Technology",5,"26250","Cash","Viaport Outlet"
"I139619","Shoes",3,"5401.53","Cash","Metrocity"
"I923307","Shoes",4,"9602.72","Cash","Metrocity"
"I246110","Clothing",5,"7502","Cash","Cevahir AVM"
"I313018","Clothing",5,"7502","Debit Card","Forum Istanbul"
"I161580","Shoes",4,"9602.72","Debit Card","Metropol AVM"
"I321850","Clothing",5,"7502","Cash","Zorlu Center"
"I323448","Shoes",5,"15004.25","Debit Card","Kanyon"
"I275854","Technology",3,"9450","Cash","Istinye Park"
"I772262","Shoes",4,"9602.72","Cash","Mall of Istanbul"
"I699078","Clothing",5,"7502","Debit Card","Mall of Istanbul"
"I164315","Technology",3,"9450","Cash","Metropol AVM"
"I214048","Clothing",5,"7502","Debit Card","Istinye Park"
"I145178","Clothing",5,"7502","Debit Card","Metrocity"
"I176637","Shoes",5,"15004.25","Debit Card","Metropol AVM"
"I190540","Clothing",5,"7502","Cash","Mall of Istanbul"
"I335251","Shoes",4,"9602.72","Cash","Mall of Istanbul"
"I277455","Technology",5,"26250","Cash","Kanyon"
"I156725","Shoes",5,"15004.25","Cash","Metrocity"
"I141491","Clothing",5,"7502","Debit Card","Metrocity"
"I133943","Shoes",3,"5401.53","Cash","Metrocity"
"I200437","Shoes",4,"9602.72","Cash","Kanyon"
"I893867","Shoes",3,"5401.53","Cash","Istinye Park"
"I143856","Clothing",5,"7502","Cash","Metrocity"
"I227204","Shoes",5,"15004.25","Cash","Kanyon"
"I308974","Technology",4,"16800","Cash","Metrocity"
"I318653","Technology",4,"16800","Cash","Metrocity"
"I301146","Clothing",5,"7502","Cash","Kanyon"
"I322156","Clothing",5,"7502","Cash","Kanyon"
"I314153","Clothing",5,"7502","Cash","Mall of Istanbul"
"I201773","Technology",3,"9450","Cash","Istinye Park"
"I197929","Clothing",5,"7502","Debit Card","Metropol AVM"
"I326831","Technology",4,"16800","Debit Card","Mall of Istanbul"
"I163585","Clothing",5,"7502","Debit Card","Metrocity"
"I819814","Shoes",4,"9602.72","Cash","Forum Istanbul"
"I214096","Clothing",5,"7502","Cash","Metrocity"
"I297336","Clothing",5,"7502","Cash","Metropol AVM"
"I626667","Shoes",4,"9602.72","Debit Card","Metropol AVM"
"I917925","Clothing",5,"7502","Cash","Metrocity"
"I265602","Clothing",5,"7502","Cash","Kanyon"
"I239599","Technology",4,"16800","Cash","Zorlu Center"
"I137096","Shoes",3,"5401.53","Cash","Mall of Istanbul"
"I180753","Shoes",3,"5401.53","Cash","Mall of Istanbul"
"I211669","Technology",3,"9450","Cash","Metrocity"
"I159278","Clothing",5,"7502","Debit Card","Mall of Istanbul"
"I110784","Technology",5,"26250","Cash","Mall of Istanbul"
"I122030","Shoes",4,"9602.72","Cash","Mall of Istanbul"
"I162048","Shoes",3,"5401.53","Debit Card","Mall of Istanbul"
"I329202","Clothing",5,"7502","Cash","Istinye Park"
"I305306","Shoes",5,"15004.25","Cash","Kanyon"
"I338119","Technology",3,"9450","Debit Card","Metrocity"
"I149544","Shoes",3,"5401.53","Cash","Metropol AVM"
"I626303","Technology",4,"16800","Debit Card","Metropol AVM"
"I100953","Shoes",4,"9602.72","Cash","Istinye Park"
"I185614","Shoes",4,"9602.72","Cash","Metrocity"
"I101155","Clothing",5,"7502","Cash","Metropol AVM"
"I324503","Clothing",5,"7502","Debit Card","Istinye Park"
"I211830","Clothing",5,"7502","Debit Card","Viaport Outlet"
"I115328","Shoes",5,"15004.25","Cash","Metropol AVM"
"I335905","Clothing",5,"7502","Cash","Kanyon"
"I194641","Shoes",4,"9602.72","Cash","Kanyon"
"I216999","Technology",5,"26250","Debit Card","Istinye Park"
"I791373","Technology",5,"26250","Cash","Istinye Park"
"I171723","Technology",5,"26250","Cash","Mall of Istanbul"
"I107370","Clothing",5,"7502","Debit Card","Istinye Park"
"I333647","Shoes",5,"15004.25","Cash","Kanyon"
"I896785","Clothing",5,"7502","Cash","Metrocity"
"I249174","Clothing",5,"7502","Debit Card","Metrocity"
"I211029","Shoes",4,"9602.72","Cash","Kanyon"
"I320815","Technology",4,"16800","Debit Card","Metrocity"
"I314269","Clothing",5,"7502","Cash","Metrocity"
"I102453","Clothing",5,"7502","Debit Card","Emaar Square Mall"
"I337251","Technology",5,"26250","Cash","Kanyon"
"I147418","Shoes",5,"15004.25","Cash","Mall of Istanbul"
"I417839","Shoes",3,"5401.53","Cash","Metrocity"
"I120927","Shoes",4,"9602.72","Debit Card","Istinye Park"
"I300531","Shoes",4,"9602.72","Debit Card","Metrocity"
"I135680","Clothing",5,"7502","Debit Card","Cevahir AVM"
"I102824","Clothing",5,"7502","Debit Card","Istinye Park"
"I339361","Clothing",5,"7502","Debit Card","Kanyon"
"I239696","Shoes",3,"5401.53","Cash","Metropol AVM"
"I264840","Shoes",4,"9602.72","Cash","Metrocity"
"I140704","Technology",4,"16800","Cash","Mall of Istanbul"
"I127168","Clothing",5,"7502","Cash","Cevahir AVM"
"I157251","Clothing",5,"7502","Cash","Viaport Outlet"
"I218048","Clothing",5,"7502","Cash","Mall of Istanbul"
"I231761","Clothing",5,"7502","Cash","Emaar Square Mall"
"I176477","Shoes",4,"9602.72","Debit Card","Kanyon"
"I327069","Clothing",5,"7502","Debit Card","Kanyon"
"I120558","Clothing",5,"7502","Debit Card","Istinye Park"
"I301684","Shoes",3,"5401.53","Debit Card","Mall of Istanbul"
"I229002","Clothing",5,"7502","Cash","Mall of Istanbul"
"I241149","Clothing",5,"7502","Cash","Istinye Park"
"I308904","Shoes",5,"15004.25","Debit Card","Mall of Istanbul"
"I667245","Clothing",5,"7502","Cash","Mall of Istanbul"
"I175534","Clothing",5,"7502","Cash","Mall of Istanbul"
"I850030","Shoes",3,"5401.53","Cash","Mall of Istanbul"
"I149432","Shoes",4,"9602.72","Debit Card","Mall of Istanbul"
"I133310","Clothing",5,"7502","Debit Card","Mall of Istanbul"
"I830574","Clothing",5,"7502","Debit Card","Metrocity"
"I157013","Clothing",5,"7502","Cash","Emaar Square Mall"
"I113535","Clothing",5,"7502","Debit Card","Metropol AVM"
"I293088","Clothing",5,"7502","Cash","Metrocity"
"I257254","Shoes",4,"9602.72","Debit Card","Metrocity"
"I155915","Shoes",3,"5401.53","Debit Card","Kanyon"
"I322003","Clothing",5,"7502","Cash","Kanyon"
"I228054","Technology",5,"26250","Debit Card","Mall of Istanbul"
"I262054","Clothing",5,"7502","Debit Card","Zorlu Center"
"I307414","Clothing",5,"7502","Cash","Metrocity"
"I613454","Shoes",4,"9602.72","Cash","Mall of Istanbul"
"I285690","Technology",3,"9450","Cash","Istinye Park"
"I227762","Clothing",5,"7502","Cash","Metrocity"
"I104173","Clothing",5,"7502","Cash","Kanyon"
"I878926","Shoes",4,"9602.72","Cash","Viaport Outlet"
"I288381","Shoes",4,"9602.72","Cash","Kanyon"
"I193990","Clothing",5,"7502","Cash","Kanyon"
"I254256","Technology",4,"16800","Cash","Zorlu Center"
"I178524","Clothing",5,"7502","Cash","Metropol AVM"
"I287525","Technology",3,"9450","Cash","Mall of Istanbul"
"I321199","Technology",5,"26250","Debit Card","Istinye Park"
"I324763","Technology",4,"16800","Cash","Istinye Park"
"I996450","Clothing",5,"7502","Cash","Metropol AVM"
"I233862","Clothing",5,"7502","Cash","Cevahir AVM"
"I613844","Clothing",5,"7502","Cash","Mall of Istanbul"
"I335745","Clothing",5,"7502","Cash","Metrocity"
"I232545","Clothing",5,"7502","Cash","Metrocity"
"I131770","Clothing",5,"7502","Cash","Metrocity"
"I263723","Shoes",4,"9602.72","Debit Card","Istinye Park"
"I181880","Shoes",4,"9602.72","Debit Card","Zorlu Center"
"I791491","Clothing",5,"7502","Cash","Viaport Outlet"
"I339899","Clothing",5,"7502","Cash","Metropol AVM"
"I221879","Technology",4,"16800","Cash","Cevahir AVM"
"I337801","Clothing",5,"7502","Debit Card","Kanyon"
"I714613","Technology",5,"26250","Cash","Emaar Square Mall"
"I249063","Shoes",3,"5401.53","Cash","Cevahir AVM"
"I261600","Shoes",5,"15004.25","Debit Card","Kanyon"
"I141044","Technology",5,"26250","Cash","Kanyon"
"I316519","Clothing",5,"7502","Cash","Kanyon"
"I115509","Shoes",4,"9602.72","Debit Card","Kanyon"
"I273457","Technology",4,"16800","Cash","Kanyon"
"I239506","Technology",5,"26250","Debit Card","Kanyon"
"I336277","Clothing",5,"7502","Debit Card","Mall of Istanbul"
"I291901","Technology",5,"26250","Cash","Zorlu Center"
"I318796","Clothing",5,"7502","Cash","Viaport Outlet"
"I280261","Technology",3,"9450","Cash","Metrocity"
"I275508","Clothing",5,"7502","Cash","Emaar Square Mall"
"I165806","Clothing",5,"7502","Cash","Kanyon"
"I311613","Clothing",5,"7502","Cash","Mall of Istanbul"
"I277406","Shoes",5,"15004.25","Cash","Istinye Park"
"I179412","Clothing",5,"7502","Debit Card","Zorlu Center"
"I178296","Technology",3,"9450","Cash","Istinye Park"
"I247881","Clothing",5,"7502","Cash","Mall of Istanbul"
"I288782","Technology",4,"16800","Cash","Metropol AVM"
"I266324","Shoes",3,"5401.53","Cash","Zorlu Center"
"I105378","Clothing",5,"7502","Cash","Viaport Outlet"
"I102107","Clothing",5,"7502","Debit Card","Mall of Istanbul"
"I139919","Clothing",5,"7502","Debit Card","Istinye Park"
"I430660","Clothing",5,"7502","Cash","Kanyon"
"I581118","Shoes",5,"15004.25","Debit Card","Kanyon"
"I117018","Shoes",3,"5401.53","Cash","Mall of Istanbul"
"I455059","Clothing",5,"7502","Cash","Zorlu Center"
"I320505","Clothing",5,"7502","Cash","Cevahir AVM"
"I136782","Clothing",5,"7502","Cash","Metrocity"
"I167611","Shoes",5,"15004.25","Cash","Kanyon"
"I942231","Shoes",3,"5401.53","Cash","Mall of Istanbul"
"I252374","Clothing",5,"7502","Debit Card","Istinye Park"
"I293976","Clothing",5,"7502","Cash","Forum Istanbul"
"I302244","Shoes",4,"9602.72","Cash","Mall of Istanbul"
"I153763","Clothing",5,"7502","Cash","Mall of Istanbul"
"I961459","Shoes",3,"5401.53","Cash","Viaport Outlet"
"I317095","Shoes",4,"9602.72","Debit Card","Istinye Park"
"I284668","Clothing",5,"7502","Cash","Emaar Square Mall"
"I807299","Shoes",5,"15004.25","Cash","Metrocity"
"I244704","Technology",4,"16800","Cash","Mall of Istanbul"
"I585814","Shoes",3,"5401.53","Cash","Emaar Square Mall"
"I506295","Shoes",4,"9602.72","Debit Card","Forum Istanbul"
"I488045","Technology",5,"26250","Cash","Kanyon"
"I113025","Technology",5,"26250","Cash","Mall of Istanbul"
"I176979","Technology",5,"26250","Cash","Metrocity"
"I487669","Clothing",5,"7502","Cash","Mall of Istanbul"
"I289987","Shoes",4,"9602.72","Cash","Zorlu Center"
"I201633","Shoes",5,"15004.25","Cash","Mall of Istanbul"
"I206103","Clothing",5,"7502","Cash","Istinye Park"
"I178478","Shoes",3,"5401.53","Debit Card","Metrocity"
"I125209","Shoes",5,"15004.25","Cash","Istinye Park"
"I124550","Shoes",4,"9602.72","Debit Card","Metropol AVM"
"I306526","Technology",3,"9450","Cash","Cevahir AVM"
"I168756","Clothing",5,"7502","Cash","Metrocity"
"I189826","Shoes",5,"15004.25","Debit Card","Mall of Istanbul"
"I496497","Technology",4,"16800","Cash","Kanyon"
"I995293","Shoes",5,"15004.25","Cash","Emaar Square Mall"
"I377816","Shoes",3,"5401.53","Debit Card","Cevahir AVM"
"I214653","Technology",4,"16800","Debit Card","Forum Istanbul"
"I159784","Clothing",5,"7502","Debit Card","Kanyon"
"I198241","Clothing",5,"7502","Cash","Forum Istanbul"
"I323062","Clothing",5,"7502","Debit Card","Metrocity"
"I182899","Clothing",5,"7502","Cash","Mall of Istanbul"
"I327051","Clothing",5,"7502","Cash","Metropol AVM"
"I785104","Shoes",4,"9602.72","Cash","Istinye Park"
"I333160","Shoes",4,"9602.72","Cash","Viaport Outlet"
"I168328","Clothing",5,"7502","Cash","Mall of Istanbul"
"I334159","Clothing",5,"7502","Cash","Kanyon"
"I121521","Clothing",5,"7502","Cash","Kanyon"
"I821297","Clothing",5,"7502","Cash","Kanyon"
"I797811","Clothing",5,"7502","Cash","Metrocity"
"I314901","Technology",5,"26250","Cash","Viaport Outlet"
"I230999","Clothing",5,"7502","Cash","Kanyon"
"I296309","Clothing",5,"7502","Debit Card","Istinye Park"
"I110584","Technology",4,"16800","Cash","Mall of Istanbul"
"I287352","Technology",5,"26250","Debit Card","Viaport Outlet"
"I278202","Clothing",5,"7502","Cash","Metrocity"
"I113715","Clothing",5,"7502","Cash","Mall of Istanbul"
"I272600","Clothing",5,"7502","Debit Card","Viaport Outlet"
"I499274","Shoes",4,"9602.72","Debit Card","Kanyon"
"I192404","Clothing",5,"7502","Cash","Kanyon"
"I101587","Technology",5,"26250","Cash","Metropol AVM"
"I167033","Shoes",3,"5401.53","Cash","Kanyon"
"I164432","Clothing",5,"7502","Cash","Kanyon"
"I146109","Shoes",5,"15004.25","Debit Card","Mall of Istanbul"
"I227925","Clothing",5,"7502","Debit Card","Kanyon"
"I234598","Technology",4,"16800","Debit Card","Metrocity"
"I149087","Technology",4,"16800","Cash","Metropol AVM"
"I195367","Clothing",5,"7502","Cash","Mall of Istanbul"
"I153111","Shoes",5,"15004.25","Cash","Forum Istanbul"
"I850326","Clothing",5,"7502","Cash","Istinye Park"
"I192220","Clothing",5,"7502","Debit Card","Metrocity"
"I524941","Clothing",5,"7502","Debit Card","Mall of Istanbul"
"I287674","Clothing",5,"7502","Cash","Cevahir AVM"
"I654531","Technology",3,"9450","Debit Card","Metrocity"
"I978260","Shoes",5,"15004.25","Cash","Kanyon"
"I188502","Clothing",5,"7502","Cash","Cevahir AVM"
"I265770","Technology",4,"16800","Cash","Forum Istanbul"
"I129303","Shoes",5,"15004.25","Cash","Istinye Park"
"I140860","Shoes",3,"5401.53","Cash","Cevahir AVM"
"I284757","Technology",3,"9450","Cash","Metrocity"
"I259287","Technology",4,"16800","Cash","Emaar Square Mall"
"I122365","Shoes",5,"15004.25","Debit Card","Metropol AVM"
"I318501","Clothing",5,"7502","Cash","Mall of Istanbul"
"I288009","Clothing",5,"7502","Cash","Emaar Square Mall"
"I935384","Shoes",4,"9602.72","Debit Card","Metrocity"
"I128704","Shoes",5,"15004.25","Debit Card","Metropol AVM"
"I234272","Shoes",5,"15004.25","Cash","Mall of Istanbul"
"I653363","Technology",4,"16800","Cash","Metropol AVM"
"I203026","Shoes",4,"9602.72","Debit Card","Mall of Istanbul"
"I121221","Clothing",5,"7502","Cash","Cevahir AVM"
"I333637","Shoes",5,"15004.25","Debit Card","Metrocity"
"I160092","Clothing",5,"7502","Debit Card","Forum Istanbul"
"I262593","Technology",4,"16800","Cash","Emaar Square Mall"
"I328975","Shoes",4,"9602.72","Debit Card","Viaport Outlet"
"I949516","Shoes",4,"9602.72","Debit Card","Forum Istanbul"
"I190080","Shoes",3,"5401.53","Cash","Kanyon"
"I954929","Clothing",5,"7502","Debit Card","Metrocity"
"I208914","Clothing",5,"7502","Cash","Mall of Istanbul"
"I956396","Shoes",3,"5401.53","Cash","Metropol AVM"
"I264020","Clothing",5,"7502","Cash","Kanyon"
"I316307","Clothing",5,"7502","Debit Card","Zorlu Center"
"I457929","Clothing",5,"7502","Cash","Forum Istanbul"
"I227386","Shoes",4,"9602.72","Cash","Metropol AVM"
"I839200","Shoes",5,"15004.25","Cash","Metropol AVM"
"I131145","Clothing",5,"7502","Cash","Istinye Park"
"I207946","Technology",4,"16800","Debit Card","Mall of Istanbul"
"I225598","Shoes",3,"5401.53","Debit Card","Metropol AVM"
"I565979","Clothing",5,"7502","Cash","Metrocity"
"I189190","Clothing",5,"7502","Debit Card","Kanyon"
"I240391","Shoes",4,"9602.72","Cash","Istinye Park"
"I307164","Clothing",5,"7502","Debit Card","Forum Istanbul"
"I309841","Technology",4,"16800","Cash","Kanyon"
"I129071","Clothing",5,"7502","Cash","Emaar Square Mall"
"I141803","Technology",4,"16800","Cash","Viaport Outlet"
"I271960","Shoes",5,"15004.25","Cash","Kanyon"
"I127989","Shoes",4,"9602.72","Debit Card","Metropol AVM"
"I400049","Technology",4,"16800","Cash","Metrocity"
"I215325","Technology",4,"16800","Cash","Kanyon"
"I474829","Shoes",5,"15004.25","Debit Card","Forum Istanbul"
"I258403","Technology",5,"26250","Debit Card","Cevahir AVM"
"I211129","Technology",5,"26250","Cash","Kanyon"
"I729770","Technology",5,"26250","Cash","Kanyon"
"I284204","Clothing",5,"7502","Debit Card","Metropol AVM"
"I111345","Shoes",4,"9602.72","Debit Card","Metrocity"
"I263215","Clothing",5,"7502","Cash","Viaport Outlet"
"I273809","Technology",4,"16800","Debit Card","Kanyon"
"I285543","Shoes",5,"15004.25","Cash","Emaar Square Mall"
"I788026","Shoes",4,"9602.72","Cash","Zorlu Center"
"I284747","Clothing",5,"7502","Cash","Mall of Istanbul"
"I290102","Shoes",5,"15004.25","Cash","Metrocity"
"I256004","Shoes",5,"15004.25","Debit Card","Metropol AVM"
"I304318","Shoes",5,"15004.25","Debit Card","Kanyon"
"I256778","Clothing",5,"7502","Cash","Metropol AVM"
"I202037","Shoes",3,"5401.53","Cash","Zorlu Center"
"I393504","Clothing",5,"7502","Debit Card","Zorlu Center"
"I479945","Shoes",3,"5401.53","Cash","Mall of Istanbul"
"I178952","Clothing",5,"7502","Cash","Metrocity"
"I644697","Clothing",5,"7502","Debit Card","Kanyon"
"I932357","Clothing",5,"7502","Cash","Cevahir AVM"
"I273303","Clothing",5,"7502","Cash","Zorlu Center"
"I267728","Clothing",5,"7502","Cash","Metropol AVM"
"I317074","Shoes",4,"9602.72","Debit Card","Mall of Istanbul"
"I355972","Clothing",5,"7502","Cash","Istinye Park"
"I323894","Clothing",5,"7502","Cash","Mall of Istanbul"
"I959623","Shoes",3,"5401.53","Debit Card","Forum Istanbul"
"I268565","Technology",3,"9450","Cash","Metrocity"
"I919242","Clothing",5,"7502","Cash","Mall of Istanbul"
"I109796","Clothing",5,"7502","Cash","Metrocity"
"I263494","Shoes",4,"9602.72","Cash","Kanyon"
"I273551","Clothing",5,"7502","Debit Card","Zorlu Center"
"I120611","Shoes",5,"15004.25","Cash","Emaar Square Mall"
"I279192","Clothing",5,"7502","Debit Card","Istinye Park"
"I215344","Technology",3,"9450","Debit Card","Kanyon"
"I213001","Technology",5,"26250","Cash","Mall of Istanbul"
"I280678","Clothing",5,"7502","Debit Card","Zorlu Center"
"I338050","Clothing",5,"7502","Cash","Mall of Istanbul"
"I525213","Shoes",4,"9602.72","Debit Card","Metrocity"
"I281185","Shoes",5,"15004.25","Cash","Cevahir AVM"
"I220284","Shoes",4,"9602.72","Cash","Istinye Park"
"I127708","Shoes",3,"5401.53","Cash","Kanyon"
"I337142","Shoes",5,"15004.25","Cash","Viaport Outlet"
"I335941","Technology",4,"16800","Debit Card","Mall of Istanbul"
